TIME,united_states,china
2018-10-01,2.203131,2.173218
2019-01-01,1.644936,1.829653
2019-04-01,1.811376,2.667514
2019-07-01,1.757488,2.864337
2019-10-01,2.032914,4.222709
2020-01-01,2.118652,4.956629
2020-04-01,0.3642956,2.72193
2020-07-01,1.222386,1.958384
2020-10-01,1.239488,0.120048
2021-01-01,1.898514,-0.1089662
2021-04-01,4.848945,1.268126
2021-07-01,5.335693,1.000762
2021-10-01,6.689106,1.782459
2022-01-01,7.966707,1.153593
2022-04-01,8.635612,2.25539
2022-07-01,8.329475,2.651641
2022-10-01,7.101672,1.839685
2023-01-01,5.80477,1.238188
2023-04-01,3.974292,0.09730782
